66, 1, 31.94, 222.63, 234.00, 449.00, 1, -1, -1, -1
74, 1, 141.00, 166.00, 149.00, 465.00, 1, -1, -1, -1
83, 1, 143.00, 200.00, 206.00, 454.00, 1, -1, -1, -1
94, 1, 226.00, 207.00, 184.00, 445.00, 1, -1, -1, -1
94, 2, 683.00, 95.00, 277.00, 617.00, 1, -1, -1, -1
103, 1, 271.00, 211.00, 178.00, 442.00, 1, -1, -1, -1
103, 2, 631.00, 74.00, 230.00, 612.00, 1, -1, -1, -1
124, 1, 358.00, 149.00, 215.00, 548.00, 1, -1, -1, -1
124, 2, 412.00, 127.00, 309.00, 554.00, 1, -1, -1, -1
130, 1, 414.00, 153.00, 172.00, 548.00, 1, -1, -1, -1
130, 2, 410.00, 123.00, 227.00, 576.00, 1, -1, -1, -1
134, 1, 435.00, 156.00, 143.00, 548.00, 1, -1, -1, -1
134, 2, 403.00, 122.00, 212.00, 583.00, 1, -1, -1, -1
156, 1, 435.00, 154.00, 178.00, 548.00, 1, -1, -1, -1
156, 2, 423.00, 128.00, 210.00, 583.00, 1, -1, -1, -1
160, 1, 428.00, 162.00, 219.00, 548.00, 1, -1, -1, -1
160, 2, 406.00, 121.00, 268.00, 579.00, 1, -1, -1, -1
166, 1, 418.00, 161.00, 248.00, 548.00, 1, -1, -1, -1
166, 2, 343.00, 132.00, 283.00, 585.00, 1, -1, -1, -1
171, 1, 378.00, 154.00, 248.00, 548.00, 1, -1, -1, -1
171, 2, 365.00, 140.00, 320.00, 598.00, 1, -1, -1, -1
175, 1, 319.00, 192.00, 194.00, 471.00, 1, -1, -1, -1
175, 2, 380.00, 147.00, 320.00, 598.00, 1, -1, -1, -1
196, 1, 165.00, 187.00, 182.00, 480.00, 1, -1, -1, -1
196, 2, 734.00, 80.00, 219.00, 600.00, 1, -1, -1, -1
199, 1, 149.00, 186.00, 160.00, 480.00, 1, -1, -1, -1
199, 2, 740.00, 104.00, 259.00, 574.00, 1, -1, -1, -1
217, 1, 29.00, 186.00, 166.00, 477.00, 1, -1, -1, -1
217, 2, 941.00, 127.00, 154.00, 588.00, 1, -1, -1, -1
223, 1, -8.00, 208.00, 147.00, 466.00, 1, -1, -1, -1
223, 2, 979.00, 119.00, 129.00, 577.00, 1, -1, -1, -1
228, 1, -33.00, 204.00, 140.00, 457.00, 1, -1, -1, -1
228, 2, 1029.00, 164.00, 106.00, 499.00, 1, -1, -1, -1
